date,search_term,tot_article
2020-05-21,chinese american,2
2020-08-15,chinese american,1
2020-06-26,chinese american,2
2020-02-29,chinese american,1
2020-06-03,chinese american,1
2020-01-30,chinese american,4
2020-09-12,chinese american,2
2020-09-04,chinese american,3
2020-04-05,chinese american,1
2020-10-05,chinese american,5
2020-05-15,chinese american,2
2020-04-11,chinese american,2
2020-01-09,chinese american,2
2020-01-24,chinese american,1
2020-05-11,chinese american,5
2019-12-30,chinese american,1
2020-01-07,chinese american,2
2020-04-08,chinese american,2
2020-11-02,chinese american,2
2020-04-18,chinese american,1
2020-03-11,chinese american,1
2020-08-14,chinese american,2
2020-05-20,chinese american,2
2020-02-18,chinese american,4
2020-10-08,chinese american,4
2020-08-07,chinese american,2
2020-05-27,chinese american,4
2020-08-25,chinese american,4
2020-03-23,chinese american,1
2020-06-04,chinese american,4
2020-02-11,chinese american,1
2020-07-09,chinese american,2
2020-06-24,chinese american,3
2020-05-07,chinese american,2
2020-04-24,chinese american,1
2019-12-19,chinese american,2
2020-09-02,chinese american,1
2020-04-23,chinese american,2
2020-03-25,chinese american,2
2020-02-16,chinese american,1
2020-03-19,chinese american,2
2020-10-24,chinese american,1
2020-05-26,chinese american,5
2020-08-13,chinese american,1
2020-04-04,chinese american,1
2020-06-17,chinese american,4
2020-04-28,chinese american,2
2020-03-28,chinese american,1
2020-05-22,chinese american,2
2020-10-03,chinese american,2
2020-04-26,chinese american,2
2020-10-25,chinese american,1
2020-06-25,chinese american,2
2020-04-27,chinese american,2
2020-08-22,chinese american,2
2020-01-25,chinese american,5
2020-09-24,chinese american,3
2020-06-30,chinese american,1
2020-09-21,chinese american,5
2020-09-20,chinese american,3
2020-09-09,chinese american,3
2020-03-06,chinese american,1
2020-02-06,chinese american,2
2020-09-17,chinese american,1
2020-08-12,chinese american,1
2020-02-27,chinese american,3
2019-12-27,chinese american,1
2020-01-14,chinese american,1
2020-10-26,chinese american,4
2020-05-25,chinese american,2
2020-07-23,chinese american,2
2020-04-19,chinese american,3
2020-07-14,chinese american,2
2020-08-05,chinese american,2
2020-07-13,chinese american,2
2019-12-28,chinese american,2
2020-07-22,chinese american,2
2020-08-18,chinese american,2
2020-08-08,chinese american,1
2020-08-04,chinese american,2
2020-07-28,chinese american,2
2020-05-18,chinese american,3
2020-04-30,chinese american,1
2020-04-16,chinese american,1
2020-08-09,chinese american,3
2020-03-08,chinese american,1
2020-10-22,chinese american,1
2020-02-03,chinese american,1
2020-07-26,chinese american,2
2020-09-10,chinese american,4
2020-04-01,chinese american,3
2020-09-14,chinese american,3
2020-05-29,chinese american,2
2020-05-12,chinese american,7
2020-05-01,chinese american,2
2020-08-21,chinese american,2
2020-02-04,chinese american,2
2020-02-21,chinese american,1
2020-06-05,chinese american,2
2019-12-16,chinese american,1
2020-09-15,chinese american,1
2020-02-28,chinese american,3
2020-02-05,chinese american,2
2020-01-17,chinese american,1
2020-03-22,chinese american,1
2020-01-06,chinese american,1
2020-05-13,chinese american,2
2020-07-08,chinese american,1
2020-08-24,chinese american,1
2020-08-17,chinese american,3
2020-05-10,chinese american,2
2020-06-08,chinese american,2
2020-11-01,chinese american,2
2020-02-14,chinese american,1
2020-04-22,chinese american,2
2020-01-10,chinese american,1
2020-10-29,chinese american,3
2020-07-27,chinese american,1
2020-08-20,chinese american,1
2020-09-22,chinese american,1
2020-03-10,chinese american,2
2020-10-20,chinese american,3
2020-03-07,chinese american,1
2020-09-30,chinese american,2
2020-04-20,chinese american,3
2020-09-11,chinese american,3
2020-01-26,chinese american,2
2020-05-03,chinese american,1
2020-01-05,chinese american,1
2020-07-24,chinese american,3
2020-09-03,chinese american,1
2020-06-09,chinese american,3
2020-05-30,chinese american,1
2020-10-17,chinese american,1
2020-07-16,chinese american,1
2020-03-12,chinese american,1
2020-03-26,chinese american,2
2020-05-17,chinese american,2
2020-05-24,chinese american,1
2020-01-02,chinese american,1
2020-09-16,chinese american,1
2020-04-13,chinese american,1
2020-03-21,chinese american,1
2020-06-19,chinese american,2
2020-08-01,chinese american,1
